name,sym,open,close,change,percent,snr
Northern Oil and Gas,NOG,43.22,39.78,-3.44,-0.08,-0.13
"ViaSat, Inc.",VSAT,20.11,15.7,-4.41,-0.219,-0.13
ViaSat,VSAT,20.11,15.7,-4.41,-0.219,-0.13
Asbury Automotive,ABG,271.59,245.64,-25.95,-0.096,-0.13
Power Integrations,POWI,71.77,67.1,-4.67,-0.065,-0.13
Sanmina,SANM,75.28,69.38,-5.9,-0.078,-0.13
Boston Beer,SAM,281.41,271.72,-9.69,-0.034,-0.13
"Yelp, Inc.",YELP,36.73,34.93,-1.8,-0.049,-0.13
Yelp,YELP,36.73,34.93,-1.8,-0.049,-0.13
ADT,ADT,7.75,7.29,-0.46,-0.059,-0.13
ONE Gas,OGS,69.89,68.94,-0.95,-0.014,-0.13
Liberty Global,LBTYK,19.94,19.67,-0.27,-0.014,-0.13
Kemper,KMPR,64.56,62.51,-2.05,-0.032,-0.13
Premier,PINC,20.91,20.37,-0.54,-0.026,-0.13
Leggett and Platt,LEG,13.21,12.64,-0.57,-0.043,-0.13
Tesla Motors,TSLA,227.69,214.11,-13.58,-0.06,-0.14
CSX,CSX,35.1,34.27,-0.83,-0.024,-0.14
nVent Electric,NVT,73.95,67.96,-5.99,-0.081,-0.14
Genuine Parts,GPC,147.62,143.26,-4.36,-0.03,-0.14
SolarEdge,SEDG,29.04,24.33,-4.71,-0.162,-0.14
AGCO,AGCO,94.32,91.04,-3.28,-0.035,-0.14
Matador Resources,MTDR,61.39,56.72,-4.67,-0.076,-0.14
Sealed Air,SEE,37.94,34.95,-2.99,-0.079,-0.14
Lear,LEA,122.31,116.65,-5.66,-0.046,-0.14
Bloom Energy,BE,13.59,11.91,-1.68,-0.124,-0.14
Olin,OLN,45.66,43.67,-1.99,-0.044,-0.14
Coty,COTY,9.96,9.38,-0.58,-0.058,-0.14
Cullen Frost Bankers,CFR,117.03,112.23,-4.8,-0.041,-0.14
Simpson Manufacturing,SSD,190.44,183.06,-7.38,-0.039,-0.14
Diodes,DIOD,77.34,69.69,-7.65,-0.099,-0.14
Sonos,SONO,13.48,12.23,-1.25,-0.093,-0.14
Select Medical,SEM,39.69,36.07,-3.62,-0.091,-0.14
Appian,APPN,35.75,32.44,-3.31,-0.093,-0.14
Advanced Energy Industries,AEIS,114.49,106.09,-8.4,-0.073,-0.14
Pacira Pharma,PCRX,20.85,15.56,-5.29,-0.254,-0.14
First Financial Bankshares,FFIN,38.09,36.57,-1.52,-0.04,-0.14
Artisan Partners Asset Management,APAM,44.23,41.59,-2.64,-0.06,-0.14
Monster Beverage,MNST,51.43,47.13,-4.3,-0.084,-0.15
Medical Properties Trust,MPW,4.84,4.5,-0.34,-0.07,-0.15
Hexcel,HXL,66.12,63.29,-2.83,-0.043,-0.15
Landstar System,LSTR,190.85,182.56,-8.29,-0.043,-0.15
"Watts Water Technologies, Inc.",WTS,207.26,196.7,-10.56,-0.051,-0.15
Watts Water,WTS,207.26,196.7,-10.56,-0.051,-0.15
ACADIA Pharma,ACAD,19.08,16.58,-2.5,-0.131,-0.15
Ormat Technologies,ORA,77.21,74.53,-2.68,-0.035,-0.15
ManpowerGroup,MAN,76.69,73.92,-2.77,-0.036,-0.15
LGI Homes,LGIH,115.25,107.88,-7.37,-0.064,-0.15
Pagerduty,PD,20.9,19.78,-1.12,-0.054,-0.15
Lam Research,LRCX,854.75,821.01,-33.74,-0.039,-0.16
Danaher,DHR,279.26,269.31,-9.95,-0.036,-0.16
Kroger,KR,54.87,53.21,-1.66,-0.03,-0.16
Apache,APA,32.8,28.49,-4.31,-0.131,-0.16
Antero Resources,AR,29.56,26.99,-2.57,-0.087,-0.16
Beacon Roofing Supply,BECN,102.19,90.6,-11.59,-0.113,-0.16
Applied Industrial,AIT,217.5,205.12,-12.38,-0.057,-0.16
Americold Realty Trust,COLD,30.11,29,-1.11,-0.037,-0.16
Tenable,TENB,36.07,41.28,5.21,0.144,-0.16
Armstrong World Industries,AWI,131.49,126.76,-4.73,-0.036,-0.16
Federal Signal,FSS,99.46,94.49,-4.97,-0.05,-0.16
Apple Hospitality REIT,APLE,14.84,14.44,-0.4,-0.027,-0.16
Affiliated Managers,AMG,185.7,173.83,-11.87,-0.064,-0.16
SPS Commerce,SPSC,215.38,199.74,-15.64,-0.073,-0.16
Teradata,TDC,32.36,28.24,-4.12,-0.127,-0.16
MSA Safety,MSA,187.67,182.63,-5.04,-0.027,-0.16
Alphabet,GOOGL,170.25,163.38,-6.87,-0.04,-0.17
Alphabet,GOOG,171.98,165.11,-6.87,-0.04,-0.17
Micron,MU,107.18,96.24,-10.94,-0.102,-0.17
Marathon Patent,MARA,19.72,16.7,-3.02,-0.153,-0.17
McKesson,MCK,621,561.08,-59.92,-0.096,-0.17
Domino's Pizza,DPZ,430,414.21,-15.79,-0.037,-0.17
Okta,OKTA,94.32,78.73,-15.59,-0.165,-0.17
Pure Storage,PSTG,59.38,51.29,-8.09,-0.136,-0.17
Mettler Toledo,MTD,1523.96,1439.08,-84.88,-0.056,-0.17
United States Steel,X,40.97,37.91,-3.06,-0.075,-0.17
"Valvoline, Inc.",VVV,46.45,42.2,-4.25,-0.091,-0.17
Valvoline,VVV,46.45,42.2,-4.25,-0.091,-0.17
Toro,TTC,95.63,92.6,-3.03,-0.032,-0.17
Ashland Global,ASH,96.85,89.5,-7.35,-0.076,-0.17
Hilton Grand Vacations,HGV,42.94,38.58,-4.36,-0.102,-0.17
Cactus,WHD,64.5,59.52,-4.98,-0.077,-0.17
LiveRamp,RAMP,30.19,25.92,-4.27,-0.141,-0.17
Oceaneering International,OII,29.91,26.99,-2.92,-0.098,-0.17
American Superconductor,AMSC,24.2,20.22,-3.98,-0.164,-0.17
MicroStrategy,MSTR,161.5,132.42,-29.08,-0.18,-0.18
Humana,HUM,361.27,354.47,-6.8,-0.019,-0.18
MGM Resorts International,MGM,40.05,37.59,-2.46,-0.061,-0.18
Fastenal,FAST,70.45,68.28,-2.17,-0.031,-0.18
Avantor,AVTR,26.99,25.84,-1.15,-0.043,-0.18
Ollie's Bargain Outlet,OLLI,98.18,89.56,-8.62,-0.088,-0.18
Rambus,RMBS,50.88,44.72,-6.16,-0.121,-0.18
Axcelis,ACLS,113.74,109.33,-4.41,-0.039,-0.18
Tidewater,TDW,97.6,88.7,-8.9,-0.091,-0.18
Nexstar Media,NXST,186.01,170.88,-15.13,-0.081,-0.18
Terex,TEX,63.27,56.77,-6.5,-0.103,-0.18
International Seaways,INSW,55.97,51.83,-4.14,-0.074,-0.18
SITE Centers,SITC,61.92,60.35,-1.57,-0.025,-0.18
Perficient,PRFT,75.45,75.17,-0.28,-0.004,-0.18
Corcept Therapeutics,CORT,38.5,35.3,-3.2,-0.083,-0.18
MDU Resources,MDU,26.9,25.69,-1.21,-0.045,-0.18
Patterson Companies,PDCO,25.59,22.49,-3.1,-0.121,-0.18
SMART Global,SGH,22.39,20.72,-1.67,-0.075,-0.18
Kadant,KAI,348.72,321.13,-27.59,-0.079,-0.18
Office Depot,ODP,42.44,30.85,-11.59,-0.273,-0.18
Brighthouse Financial,BHF,50.02,45.9,-4.12,-0.082,-0.18
